tempo,velocidade_media_prioritarios
0,0.0
1,0.0
2,1.9745894176353302
3,4.082028310203792
4,5.956328686749164
5,7.113366020249669
6,8.926934801315657
7,10.977247769408859
8,12.233652445737972
9,12.203575620796103
10,10.470262834147647
11,9.047752378834666
12,8.601975891544745
13,8.887558036824968
14,9.312231271132788
15,9.732079924836764
16,9.789679486917663
17,10.571644099499027
18,8.354685210860223
19,6.988812065572846
20,6.518527043363664
21,6.988539904316149
22,7.177868664841551
23,8.047397531996813
24,10.167241588108027
25,11.620840191702051
26,11.543504394555432
27,11.00091916136967
28,10.0642994849669
29,9.115953856098193
30,9.28827135236762
31,9.682432459145678
32,9.102215042552775
33,6.378790631057731
34,9.078542860248078
35,13.823717652014457
36,13.29147106430959
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,2.0695075553026983
49,3.0590663224020544
50,5.038923442413057
51,6.65335528793399
52,8.720404310069314
53,11.079827916430887
54,12.28277398419376
55,12.84701367324959
56,13.08525601786251
57,13.483917057174258
58,13.371034002266825
59,13.273501527807674
60,13.179556849270593
61,13.1739147758903
62,13.220846894381102
63,13.016078716677148
64,13.18681212821495
65,10.72146423337816
66,7.819167028221368
67,3.4682355590958083
68,1.5496450822631627
69,0.2090312805212574
70,0.05418952540522606
71,0.01830103838802283
72,0.015598071816945776
73,0.0009407489355794084
74,0.0007986475554497948
75,0.00026120129101682204
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,1.801232567545958
96,2.4701347883911327
97,4.458125884642913
98,6.778633643774082
99,8.518192337398068
100,10.356811598446802
101,11.752038403235492
102,12.721971404746292
103,12.790618801568636
104,12.945875878746156
105,12.752939258664847
106,13.47248838139698
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
